Kanji	Keyword	KeywordWK	ElementsTree	Elements
楊	purple willow			tree, piggy bank, sun, day, piglets
椋	Oriental elm			tree, capital, capitol, tall, top hat, mouth, small, little
榛	hazel			tree, bonsai, wheat
櫛	comb			tree, node, bamboo, instant, silver, stamp
槌	wooden hammer			tree, chase, maestro, road
樵	mallet			tree, char, turkey, oven-fire, drop4, barbecue
梯	ladder			tree, younger brother, horns, dollar, bow, stick
柑	citrus tree			tree, sweet, wicker basket, picnic basket
杭	picket			tree, whirlwind, top hat, wind
柊	holly			tree, winter, walking legs, ice
柚	citron			tree, wherefore, sprout, shoot
椀	wooden bowl			tree, address, house, mailbox, evening, fingerprint
栂	hemlock			tree, mother, mama, breasts, drop2, drops, drop
柾	spindle tree			tree, correct, one, ceiling, stop, footprint
榊	sacred Shinto tree			tree, gods, altar, monkey, sun, day, rice field, stick
樫	evergreen oak			tree, strict, loincloth, retainer, slave, crotch, soil, dirt, ground
槙	Chinese black pine			tree, true, ten, needle, eye, tool, one, animal legs, eight
楢	Japanese oak			tree, animal horns, whiskey bottle, west, one
橘	mandarin orange			tree, halberd, halbard, beforehand, alien, hood, human legs, mouth
桧	Japanese cypress			tree, meeting, one, elbow
棲	roost			tree, wife, ten, needle, rake, woman
栖	nestle			tree, west, one, four
桔	bellflower			tree, good luck, samurai, mouth
杜	temple grove			tree, soil, dirt, ground
杷	grain rake			tree, mosaic
梶	oar			tree, tail, flag, fur
杵	wooden pestle			tree, noon, horse, pantomime horse, sign of the horse
杖	cane			tree, length, stick, tucked under the arm
樽	barrel			tree, revered, chieftain, Molotov cocktail, animal horns, horns, whiskey bottle, glue
櫓	turret			tree, fish, bound up, rice field, brains, oven-fire, drop4, barbecue, sun
橿	sturdy oak			tree, rice field2, rice field, floor, ceiling, one3, one, ground3, ground
杓	wooden ladle			tree, ladle, bound up, drop
李	damson			tree, child
棉	raw cotton			tree, white, drop, sun, day, towel
楯	escutcheon			tree, shield, drag, ten, needle, eye
榎	hackberry			tree, summer, one, ceiling, drop, eye, walking legs
樺	birch			tree, splendor, splendid, flowers, silage, ten, needle
槍	lance			tree, godown, meeting, single gate, umbrella, one, stable door, mouth
柘	wild mulberry			tree, rock, stone
梱	bale			tree, quandary, pent in, tree, wood
枇	loquat			tree, compare, spoon, sitting on the ground, spoon2, sitting on the ground2
樋	downspout			tree, traffic, pogo stick, chop-seal, hanko, utilise, utilize, road
橇	sled			tree, three furs, fur3, fur
槃	enjoyment			carrier, boat, cruise missile, missile, wind, crotch, tree
栞	bookmark	Bookmark		two clotheslines, clothesline2, clothesline, dry2, dry, tree
椰	coconut tree			tree, ear, city walls
檀	sandalwood			tree, top hat, times, rotation, pent in, mouth, nightbreak, sun, day, one, floor
樗	plotosid			tree, rain, ceiling, snare
槻	zelkova			tree, standard, husband, see, telescope, eye, human legs
椙	cryptomeria			tree, prosperous, sun, day, sun2, day2
彬	copious			tree2, tree, grove, cedar, wood2, wood, shape
桶	bucket			tree, chop-seal, utilize
楕	ellipse			tree, possess, left, by one's side, by one’s side, craft, flesh, moon, month
樒	star-anise			tree, secrecy, house, invariably, heart, mountain
毬	furball			fur, request, arrow, grains of rice
櫂	oar			fire, feathers, turkey, twinkle
燎	watchfire			fire, pup tent, large, St. Bernard, sun, day, small, little
炬	torch			fire, gigantic, Fafner
焚	kindle			grove, tree2, tree, wood2, wood, fire
灸	moxa			mummy, bound up, person, fire
燭	candlelight			fire, net, eye, bound up, insect
煽	fanning			fire, fan, door, one, ceiling, flag, feathers, wings
煤	soot			fire, so-and-so, sweet, wicker basket, picnic basket, tree, wood
煉	firing			fire, east, drop2, horns
燦	dazzling			fire, magic wand, wand, augury, divining rod, evening, crotch, rice
灼	refulgent			fire, ladle, bound up, drop
烙	branding			fire, each, walking legs, mouth
焔	flames			fire, bound up, olden times, olden days, old days, stick, sun, day
熔	fuse metal			fire, contain, house, valley, eight, umbrella, mouth
烹	stew			top lid, mouth, tall, complete, child with arms wrapped up, oven-fire, drop4, barbecue, drop4
牽	tug			mysterious, top hat, cocoon, crown, elbow, cow
牝	female animal			cow, spoon
牡	male animal			cow, soil, dirt, ground
瑶	precious stone			jewel, condor, claw, vulture, king, mountain, road
琳	chime			jewel, grove, tree2, tree, wood2, wood
琉	lapis lazuli			jewel, infant, toddler, top hat, elbow, flood, stream
瑳	burnish			jewel, distinction, wool, sheep, horns, king, craft
琢	hone			jewel, sow
珊	coral			jewel, tome, scrapbook, scrapbooks, glass canopy, hood, flowers
瑚	coral reef			jewel, old, moon, month, flesh
瑞	fortunate	Congratulations		jewel, mountain, comb
珪	silicon			jewel, ivy, soil, dirt, ground, soil2, dirt2, ground2
玖	jet			jewel, mummy, bound up, person, fire
瑛	crystal stone	Crystal		jewel, England, flowers, centre, center, large, St. Bernard
玲	tinkling			jewel, orders, meeting, chop-seal, hanko
畢	lastly			rice field, silage, ten
畦	paddy-field ridge			field, ivy, soil, dirt, ground, soil2, dirt2, ground2
痒	itch	Itchy		sickness, horns, sheep, king, stick
痰	phlegm			sickness, inflammation, fire, fire2
疹	measles			sickness, umbrella, shape
痔	hemorrhoids			sickness, buddhist temple, temple, soil, dirt, ground, glue
癌	cancer			sickness, goods, mouth, mouth3, mountain
痺	paralysis			sickness, lowly, Wayne Slob, drop, rice field, brains, cornucopia, ten, needle
眸	apple of the eye			eye, moo, elbow, cow
眩	dizzy			eye, mysterious, top hat, cocoon
雉	pheasant			pheasant, arrow, dart, turkey
矩	carpenter's square			arrow, dart, gigantic
磐	crag			carrier, boat, cruise missile, missile, wind, crotch, rock, stone
碇	grapnel			rock, stone, determine, determined, house, mend
碧	blue-green			jewel, white, drop, sun, day, stone, rock
硯	inkstone			rock, stone, see, eye, human legs
砥	grindstone			rock, stone, calling card, family name, one, floor
碗	teacup			rock, stone, address, house, mailbox, evening, fingerprint
碍	obstacle			rock, stone, nightbreak, sun, day, one, floor, glue
碩	illustrious			rock, stone, tribute, craft, shellfish, shell, clam, oyster, eye, animal legs, eight
磯	rocky beach			rock, stone, how many, how much, cocoon, cocoon2, person, fiesta,
砺	whetstone			rock, stone, cliff, ten thousand, one, ceiling, bound up
碓	mill			rock, stone, turkey
禦	fend off			honorable, Nelson, column, going, line, wholesale, horseshoe, pantomime horse, noon, sign of the horse, stop, footprint, stamp, show, altar, two, small
祷	beseech			show, altar, longevity, bushes, glue
祐	ancestral tablet			altar, right, by one's side, by one’s side, mouth
祇	local god			show, altar, two, small, family name
祢	ancestral shrine			altar, reclining, lying down, small, little
禄	salarium			altar, broom, arrow, grains of rice, rice grains
禎	felicitation			altar, upright, magic wand, augury, divining rod, shellfish, shell, clam, oyster, eye, animal legs, eight
秤	balancing scales			wheat, cereal, even, water-lily, lily pad
黍	millet			wheat, umbrella, grains of rice, rice grains
禿	bald			wheat, human legs
稔	bear fruit			wheat, wish, now, clock, heart
稗	crabgrass			wheat, lowly, Wayne Slob, drop, rice field, brains, cornucopia, ten, needle
穣	bumper crop			wheat, grass skirt, top hat, eight, six, animal legs, celery, scarf
稜	imperial authority			wheat, rice seedlings, soil, dirt, ground, human legs, walking legs
稀	sparse			wheat, hope, sheaf, linen, by one's side, by one’s side, towel
穆	obeisant			wheat, spring, white, dove, water, shape
窺	peep			hole, house, human legs, standard, protocol, husband, see, telescope, eye, human legs
窄	tight			hole, house, human legs, saw
穿	drill			hole, house, human legs, tusk
竃	kitchen stove			hole, soil, dirt, ground, eel, eels, sun, day, rice field2, rice field, fishhook
竪	longness			loincloth, retainer, slave, crotch, vase, stand up
颯	rustling	Quick		vase, stand up, wind, gnats, drop, insect
站	outpost			vase, stand up, fortune-telling, magic wand, wand, augury, divining rod, mouth
靖	repose	Peaceful		vase, stand up, blue, grow up, moon, flesh
妾	concubine			vase, stand up, woman
衿	lapel			cloak, now, clock
袷	lined kimono			cloak, fit, meeting, umbrella, one, mouth
袴	pleated skirt			cloak, St. Bernard, large, ceiling, one, snare
襖	sliding door			cloak, core, drop, pent in, rice, large, St. Bernard
笙	Chinese panpipe			bamboo, life, This is Your Life, cell, drop, grow up
筏	raft			bamboo, fell, to fell, person, fiesta
簾	bamboo blinds			bamboo, bargain, cave, concurrently, animal horns, horns, rake
箪	rattan box			bamboo, simple, owl, one, animal legs, rice field, brains, ten, needle
竿	pole			bamboo, dry, clothesline
箆	spatula			bamboo, hood, umbrella, person, compare, spoon2, spoon
箔	foil			bamboo, overnight, water, water droplets, water pistol, white, dove
笥	wardrobe			bamboo, director, clothes hanger, coat hanger, one, mouth
箭	arrow shaft			bamboo, in front, front, horns, butcher, moon, month, flesh, part of the body, sword, sabre, saber
筑	ancient harp			bamboo, craft, mediocre, drop, wind
篠	slender bamboo			bamboo, person, walking stick, stick, taskmaster, tree
纂	redaction			bamboo, eyeball, eye, silver, St. Bernard, large, thread, spiderman
竺	bamboo cane			bamboo, two
箕	winnowing fan			bamboo, bushel basket, hamper, animal legs, eight
笈	backpack			bamboo, reach out, fist, from, drop
篇	livraison			bamboo, door, ceiling, one, flag, tome, scrapbook, scrapbooks
筈	should			bamboo, tongue, thousand, drop, ten, needle, mouth
簸	winnow			bamboo, bushel basket, hamper, animal legs, eight, pelt, branch, ten, needle, crotch, hook
粕	settlings			rice, white, drop, sun, day
糟	lees			rice, cadet, one, bend, sun, day, rice field
糊	paste			rice, old, moon, month, flesh
籾	unhulled rice			rice, blade, drop, sword, dagger
糠	rice bran			rice, ease, sane, cave, sieve, rake, grains of rice
糞	excrement			rice, uncommon, rice field, brains, strung together, salad, animal legs, eight
粟	foxtail millet			old west, mouth, ceiling, rice
繋	link up			car, sun, day, ten, needle, cruise missile, missile, wind, crotch, thread, spiderman
綸	twine			thread, meeting, umbrella, one, mouth, tome, scrapbook, scrapbooks, glass canopy, hood, flowers
絨	carpet yarn			thread, spiderman, ten, fiesta
絆	ties			thread, spiderman, half, small, ten, needle
緋	scarlet	Scarlet		thread, spiderman, un-, jail cell, prison bars
綜	synthesis			thread, spiderman, religion, house, altar, show, two, small
紐	string			thread, spiderman, sign of the cow, dagger, two
紘	chinstrap			thread, spiderman, by one's side, by one’s side, by his side, elbow
纏	summarize			thread, cave, ri, computer, rice field, brains, soil, dirt, ground, animal legs, earth
絢	gorgeous			thread, spiderman, decameron, bound up, sun, day
繍	embroidery			thread, spiderman, solemn, rake, fenceposts, cabers, rice
紬	pongee			thread, spiderman, wherefore, sprout, shoot
綺	ornate	Beautiful		thread, spiderman, strange, large, St. Bernard, can, mouth, street, nail, spike
綾	damask	Design		thread, spiderman, rice seedlings, soil, dirt, ground, human legs, soil2, dirt2, ground2, walking legs
絃	catgut			thread, spiderman, mysterious, top hat, cocoon
縞	stripe			thread, spiderman, tall, top hat, mouth, alien, hood, mouth, mouth2
綬	gimp			thread, spiderman, accept, birdhouse, birdcage, claw, vulture, crown, crotch
紗	gossamer			thread, spiderman, few, little, small, drop
舵	rudder			boat, wind, drop, house, spoon
聯	strung together			ear, two cocoons, cocoon2, cocoon, cactus, mountain
聡	attentive	Wise		ear, public, eight, elbow, heart
聘	summons			ear, wherefore, sprout, shoot, snare
耽	addiction			ear, crown, human legs, chihuahua with one human leg, drop
耶	exclamation			ear, city walls
蚤	flea			crotch, two drops, drop2, drops, drop, insect
蟹	crab	Crab		unravel, angle, bound up, glass canopy, hood, walking cane, stick, two, sword, dagger, cow, insect
蛋	protein			zoo, mending, mend, insect
蟄	hibernation			tenacious, happiness, ten, needle, stand up, vase, fat man, round, circle, musashimaru, nine, baseball, drop, ten2, needle2, insect
蝿	housefly			insect, eel, eels, sun, day, rice field2, rice field, fishhook
蟻	ant			insect, righteousness, horns, sheep, king, ego, hand, finger, fingers, fiesta
蝋	wax			insect, owl2, owl, anemometer, one, animal legs, wind, cornstalk, corncob
蝦	shrimp			insect, staples, mouth, box, crotch
蛸	octopus			insect, candle, resemblance, little, small, moon
螺	screw			insect, accumulate, rice field, brains, thread, spiderman
蝉	cicada			insect, simple, owl, one, animal legs, rice field, brains, ten, needle
蛙	frog			insect, ivy, square jewel, soil, dirt, ground, soil2, dirt2, ground2
蛾	moth			insect, ego, hand, finger, fingers, fiesta
蛤	clam			insect, fit, meeting, umbrella, one, mouth
蛭	leech			insect, climax, wall, one, ceiling, elbow, soil, dirt, ground
蛎	oyster			insect, cliff, ten thousand, one, ceiling, bound up
罫	ruled lines			net, eye, ivy, square jewel, soil, dirt, ground, soil2, dirt2, ground2, magic wand, wand, augury, divining rod
袈	stole			add, power, muscle, arnold, mouth, garment, top hat, scarf, cloth, clothes, clothing
裟	monk's sash			water, few, litte, small, drop, garment, top hat, scarf, cloth, clothes, clothing
截	incision			Thanksgiving, harvest festival, ten, needle, fiesta, turkey
哉	I wonder	Question Mark		plantation, Thanksgiving, harvest festival, ten, needle, fiesta, mouth
詢	counsel			say, words, decameron, bound up, sun, day
諄	polite			say, words, receive, tall, top hat, mouth, child, children
讐	vendetta			turkey2, turkey, two turkeys, say, words
諌	remonstrate			say, words, east
諒	verify	Comprehend		say, words, capital, tall, top hat, mouth, small, little
讃	compliment			say, words, approve, approval, husband2, husband, shellfish, shell, clam, oyster, eye, animal legs, eight
訊	query			say, words, blade, drop, sword, dagger, ten, wind, fishhook
訣	split up			say, words, guillotine, key, St. Bernard, large, person
詑	prevarication			say, words, house, spoon
誼	familiarity			say, words, best regards, house, shelf, my bookshelves
謬	fallible			say, words, feathers, wings, umbrella, shape
詫	beg pardon			say, words, home, house, lock of hair, seven
諏	advise			say, words, take, ear, crotch
諺	proverb			say, words, lad, vase, stand up, cliff, shape
誹	slander			say, words, un-, jail cell, prison bars
謂	so-called			say, words, stomach, rice field, brains, moon, month, flesh, part of the body
諜	secret agent			say, words, generation, generations, ten, twenty, tree, wood
註	footnote			say, words, candlestick, lord, drop, king, jewel, ball
譬	parable			ketchup, flag, mouth, spicy, stand up, vase, ten, needle, say, words
轟	rumble			car3, car, three cars, sun, day, ten, needle
輔	reinforce	Help		car, sun, day, ten, needle, dog tag, dogtag, arrowhead, screwdriver, utilize, utilise
輻	spoke			car, sun, day, ten, needle, wealth, house, one, ceiling, mouth, rice field, brains
輯	assemble			car, sun, day, ten, needle, mouth, ear
豹	panther			skunk, badger, ladle, bound up, drop
賎	despicable			shellfish, shell, clam, oyster, eye, animal legs, eight, fortune-telling, fortuneteller, magic wand, wand, augury, divining rod, mouth
貰	get			generation, generations, ten, twenty, shellfish, shell, clam, oyster, eye, animal legs, eight
賑	bustling			shellfish, shell, shells, clam, oyster, eye, animal legs, eight, sign of the dragon, cliff, two, hairpin, safety-pin
躓	stumble			leg, wooden leg, mouth, mending, mend, substance, axe2, axe, shellfish, shell, clam, oyster, eye, animal legs, eight
蹄	hoof			leg, wooden leg, mouth, mending, mend, sovereign, vase, stand up, top hat, apron, crown, towel
蹟	vestiges			leg, wooden leg, mouth, mending, mend, concerning, capital, tall, top hat, mouth, small, little, understandably, chihuahua with one human leg
跨	straddle			leg, wooden leg, mouth, mending, mend, St. Bernard, large, ceiling, snare
跪	kneel			leg, wooden leg, mouth, mending, mend, dangerous, danger, bound up, unlucky, cliff, fingerprint
醤	soy sauce	Soy Sauce		leader, turtle, claw, vulture, glue, whiskey bottle
醍	whey			whiskey bottle, just so, sun, day, mend
醐	ghee			whiskey bottle, old, moon, month
醇	strong saké			whiskey bottle, receive, tall, top hat, mouth, child, children
麹	malt			barley, grow up, walking legs, bound up, rice
釦	button			gold, metal, gold, umbrella, drop, king, jewel, ball, drop2, mouth
銚	keg			gold, metal, gold, umbrella, drop, king, jewel, ball, drop2, portent, turtle
鋤	plow			sukiyaki, gold, metal, gold, umbrella, drop, king, jewel, ball, drop2, help, shelf, my bookshelves, power, muscle, arnold
鏑	arrowhead			gold, metal, antique, vase, stand up, hood, old, tombstone, gravestone, church, ten, needle, mouth
鋸	handsaw			gold, metal, gold, umbrella, drop, king, jewel, ball, drop2, reside, flag, old, tombstone, gravestone, church, ten, needle, mouth
錐	awl			gold, metal, gold, umbrella, drop, king, jewel, ball, drop2, turkey
鍬	hoe			gold, metal, gold, umbrella, drop, king, jewel, ball, drop2, autumn, wheat, cereal, fire
鋲	rivet			gold, metal, gold, umbrella, drop, king, jewel, ball, drop2, soldier, hill, axe, one, floor, animal legs, eight
錫	tin			gold, metal, gold, umbrella, drop, king, jewel, ball, drop2, piggy bank, sun, day, piglets
錨	anchor			gold, metal, gold, umbrella, drop, king, jewel, ball, drop2, seedlings, flowers, rice field, brains
釘	nail			gold, metal, gold, umbrella, drop, king, jewel, ball, drop2, street, nail, spike
鑓	javelin			gold, metal, gold, umbrella, drop, king, jewel, ball, drop2, dispatch, purse, inX, one, floor, maestro without baton, road
鋒	sword's point			gold, metal, gold, umbrella, drop, king, jewel, ball, drop2, walking legs, bushes
鎚	hammer			gold, metal, gold, umbrella, drop, king, jewel, ball, drop2, chase, chase after, maestro, road
鉦	carillion			gold, metal, gold, umbrella, drop, king, jewel, ball, drop2, correct, one, ceiling, stop, footprint
錆	rust			gold, metal, gold, umbrella, drop, king, jewel, ball, drop2, blue, grow up, moon, flesh
鍾	cluster			gold, metal, gold, umbrella, drop, king, jewel, ball, drop2, heavy, thousand, computer, rice field, brains, soil, dirt, ground
鋏	scissors			gold, metal, gold, umbrella, drop, king, jewel, ball, drop2, St. Bernard dog, large, assembly line, person
閃	flash			gates, person
悶	agony			gates, heart
閤	side gate			gates, fit, meeting, umbrella, one, mouth
雫	trickle			rain, weather, below, one, ceiling, magic wand, wand, augury, divining rod
霞	haze			rain, weather, spare time, hobby, sun, day, staples, mouth, box, crotch, box2
翰	quill			morning, mist, ten, needle, early, sun, day, umbrella, feathers, wings
斡	auspices			morning, mist, ten, needle, early, sun, day, umbrella, big dipper, measuring cup, The Plough, drop, ten, needle
鞍	saddle			leather, flowers, car, mouth, ten, needle, relax, house, woman
鞭	whip			leather, flowers, car, mouth, ten, needle, convenience, person, grow late, Amaterasu, one, ceiling, sun, day, tucked under the arm
鞘	saddle straps			leather, flowers, car, mouth, ten, needle, candle, resemblance, little, small, moon
鞄	briefcase			leather, flowers, car, mouth, ten, needle, wrap, bound up, snake, self
靭	pliable			leather, flowers, car, mouth, ten, needle, blade, drop, sword, dagger
鞠	terminate			leather, flowers, car, mouth, ten, needle, bound up, rice
顛	overturn			true, ten, needle, eye, tool, one, animal legs, eight, head, beans, table, one, mouth, head, page, one, ceiling, drop, shellfish, shell, clam, oyster, eye, animal legs, eight
穎	brush tip			spoon, wheat, cereal, head, beans, table, one, mouth, head, page, one, ceiling, drop, shellfish, shell, clam, oyster, eye, animal legs, eight
頗	exceedingly			pelt, branch, ten, needle, crotch, hook, head, beans, table, one, mouth, head, page, one, ceiling, drop, shellfish, shell, clam, oyster, eye, animal legs, eight
頌	accolade			public, eight, elbow, head, beans, table, one, mouth, head, page, one, ceiling, drop, shellfish, shell, clam, oyster, eye, animal legs, eight
頚	neck and throat			spool, clod, toilet paper, crotch, soil, dirt, ground, head, beans, table, one, mouth, head, page, one, ceiling, drop, shellfish, shell, clam, oyster, eye, animal legs, eight
餐	repast			magic wand, wand, divining rod, augury, evening, crotch, eat, food, umbrella, good, halo, drop, silver
饗	feast			home town, cocoon, silver, city walls, eat, food, umbrella, good, halo, drop, silver
蝕	eclipse			eat, food, umbrella, good, halo, drop, silver, insect
飴	sweets	Candy		eat, food, umbrella, good, halo, drop, silver, pedestal, elbow, mouth
駕	stretcher			add, power, muscle, arnold, mouth, team of horses
騨	piebald			team of horses, simple, owl, one, animal legs, rice field, brains, ten, needle
馳	rush			team of horses, scorpion, fishhook, stick
騙	cheat			team of horses, door, ceiling, flag, mouth, tome, scrapbook, scrapbooks, glass canopy, hood, flowers
馴	tame			team of horses, stream, flood
駁	rebuttal			team of horses, two sheaves, sheaf, sheaf2
駈	gallop			team of horses, hill, axe, one, floor
驢	donkey			team of horses, tiger, magic wand, augury, cliff, hook, diced, seven, human legs, rice field, field, dish
鰻	eel			fish, bound up, rice field, brains, oven-fire, drop4, barbecue, mandala, sun, day, net, eye, crotch
鯛	sea bream			fish, bound up, rice field, brains, oven-fire, drop4, barbecue, circumference, glass hood, earthenware jar, lidded crock, soil, dirt, ground, mouth
鰯	sardine			fish, bound up, rice field, brains, oven-fire, drop4, barbecue, weak, bow, ice, bow2, ice2
鱒	trout			fish, bound up, rice field, brains, oven-fire, drop4, barbecue, revered, chieftain, Molotov cocktail, animal horns, horns, whiskey bottle, glue
鮭	salmon	Salmon		fish, bound up, rice field, brains, oven-fire, drop4, barbecue, ivy, square jewel, soil, dirt, ground, soil2, dirt2, ground2
鮪	tuna			fish, bound up, rice field, brains, oven-fire, drop4, barbecue, possess, possession, by one's side, by one’s side, moon, month, flesh, part of the body
鮎	sweet smelt			fish, bound up, rice field, brains, oven-fire, drop4, barbecue, fortune-telling, fortunetelling, magic wand, wand, augury, divining rod, mouth
鯵	horse mackerel			fish, bound up, rice field, brains, oven-fire, drop4, barbecue, nonplussed, visit, elbow, large, St. Bernard, shape
鱈	cod			fish, bound up, rice field, brains, oven-fire, drop4, barbecue, snow, rain, weather, broom
鯖	mackerel			fish, bound up, rice field, brains, oven-fire, drop4, barbecue, blue, grow up, moon, flesh
鮫	shark			fish, bound up, rice field, brains, oven-fire, drop4, barbecue, mingle, top hat, father
鰹	bonito			fish, bound up, rice field, brains, oven-fire, drop4, barbecue, strict, loincloth, retainer, slave, crotch, soil, dirt, ground
鰍	bullhead			fish, bound up, rice field, brains, oven-fire, drop4, barbecue, autumn, wheat, cereal, fire, person, drops, drop
鰐	alligator	Alligator		fish, bound up, rice field, brains, oven-fire, drop4, barbecue, mouth2, mouth, two mouths, ceiling, snare
鮒	crucian			fish, bound up, rice field, brains, oven-fire, drop4, barbecue, adhere, adhere to, person, glue
鮨	sushi			fish, bound up, rice field, brains, oven-fire, drop4, barbecue, delicious, spoon, sitting on the ground, sun, day
鰭	fish fin			fish, bound up, rice field, brains, oven-fire, drop4, barbecue, old man, soil, dirt, ground, spoon, sitting on the ground
鴎	seagull			ward, box, sheaf, bird, white, dove, one, tail feathers
鵬	roc			companion, moon2, moon, month2, month, flesh2, flesh, part of the body2, part of the body, bird, white, dove, one, tail feathers
鸚	parakeet			suckling infant, suckling babe, shellfish2, shellfish, shell2, shell, two shells, woman, bird, white, dove, one, tail feathers
鵡	parrot			warrior, one, arrow, stop, footprint, bird, white, dove, one, tail feathers
鵜	cormorant			younger brother, horns, dollar, bow, stick, bird, white, dove, one, tail feathers
鷺	heron			path, wooden leg, leg, mouth, stop, footprint, each, walking legs, mouth, mouth2, bird, white, dove, one, tail feathers
鷲	eagle			concerning, capital, tall, top hat, mouth, small, little, understandably, chihuahua with one human leg, bird, white, dove, one, tail feathers
鴨	wild duck			push, finger, fingers, armour, armor, roots, bird, white, dove, one, tail feathers
鳶	kite falcon			arrow, dart, bird, white, dove, one, tail feathers
梟	owl			bird, white, dove, one, tail feathers, tree, wood
塵	dust			cave, old west, flowers, compare, spoon2, spoon, soil, dirt, ground
麒	giraffe			cave, old west, flowers, compare, spoon2, spoon, shellfish, shell, clam, oyster, eye, animal legs, eight
瞑	close the eyes			eye, hades, crown, sun, day, six, top hat, animal legs
暝	murky			sun, day, hades, crown, sun, day, six, top hat, animal legs
坐	sitting in mediation			assembly line, person2, person, soil, dirt, ground, stick
朔	first day of the month			mountain goat, horns, mountain, moon, month
曳	drag			drag, sun, day, tucked under the arm, under one's arm, rice field
洩	dribble out			water, water droplets, water pistol, drag, sun, day, tucked under the arm, under one's arm, rice field
彗	comet			bushes2, bushes, two bushes, broom
慧	astute			comet, bushes2, bushes, two bushes, broom, heart
嘉	applaud	Esteem		drum, samurai, beans, table, one, mouth, branch, ten, needle, crotch, add, power, muscle, arnold, mouth
兇	evil			villain, sheaf, shovel, human legs
兜	helmet			two boxes, box, box2, white, drop, sun, day, human legs
欝	depressed			tree2, tree, two trees, wood2, wood, sheaf2, sheaf, two sheaves, net, eye, silver, glue
劫	kalpa			gone, soil, dirt, ground, elbow, power, muscle, muscles, arnold
歎	bemoan			scarecrow, flowers, mouth, husband, strawman, ten, flowers, salad, mouth, lack, yawn, bound up, person
輿	palanquin			entertain, entertainment, staples2, staples, car, tool, eye, one, animal legs, eight
巽	southeast			snake2, snake, two snakes, self, strung together, salad, animal legs, eight
歪	warped			negative, negation, one, ceiling, person, drop, correct, one, ceiling, stop, footprint
翠	jade green			feathers, wings, graduate, top hat, assembly line, person2, person, ten, needle
黛	blue-black			substitute, person, arrow, black, computer, ri, village, oven-fire, drop4, barbecue
鼎	tripod			one-sided2, one-sided, waiter with wine on tray, eye, straightened hook, axe, ax
鹵	rocksalt			magic wand, wand, augury, divining rod, pent up, sheave, drops, drop, drop4, drop, four dots, dot4, dot
鹸	lye			rocksalt, magic wand, wand, augury, divining rod, pent up, sheave, drops, drop, drop4, four dots, dot, dot4, awl, fit, meeting, umbrella, one, mouth, person
虔	reserved			tiger, magic wand, wand, augury, divining rod, cliff, hook, diced, seven, human legs, sentence, plaid, kilt, Billy Connolly, crotch
燕	swallow			twenty, one, shovel, north, ice, spoon, mouth, oven-fire, drop4, barbecue
嘗	lick			outhouse, schoolhouse, small, little, crown, mouth, delicious, spoon, sitting on the ground, sun, day
殆	almost			bones, one, ceiling, evening, pedestal, elbow, mouth
孟	start			child, dish
牌	mahjong tiles			one-sided, waiter with wine on tray, lowly, Wayne Slob, drop, rice field, brains, cornucopia, ten, needle
覗	peek			director, clothes hanger, coat hanger, one, mouth, see, eye, human legs
彪	mottled			tiger, magic wand, wand, augury, divining rod, cliff, hook, diced, seven, human legs, shape, form
秦	Manchu dynasty			bonsai, wheat
雀	sparrow			few, little, small, drop, turkey
隼	peregrine falcon	Falcon		turkey, needle, ten
耀	shimmering			ray, ray of light, small, little, human legs, broom2, broom, feathers, wings, turkey
夷	ebisu			great, large, St. Bernard, bow, self, snake
嚢	cyst			needle, ten, middle, in, crown, eight, celery, garment, cloak, scarf, top hat, cloth, clothes, clothing
暢	carefree			speaketh, monkey, sun, day, rice field, stick, piggy bank, sun, day, piglets
廻	circling			stretch, -times, times
欣	elation			axe, ax, lack, yawn, bound up, person
毅	stalwart			vase, stand up, sow, cruise missile, missile, wind, crotch
斯	this			bushel basket, hamper, animal legs, eight, axe, ax
匙	wooden spoon			just so, sun, day, mending, mend, spoon
匡	set straight			box, king
肇	founding			door, ceiling, flag, taskmaster, brush
麿	Utamaro			hemp, cave, grove, tree2, tree, wood2, wood, spine, mouth, drop, mouth2
叢	conglomerate			upside down in a row, row, soil, dirt, ground, king, take, ear, crotch
肴	entreat			sheaf, possess, possession, by one's side, by one’s side, moon, month, flesh, part of the body
斐	symmetrically patterned	Patterned		un-, jail cell, prison bars, sentence, plaid, kilt, Billy Connolly, crotch
卿	magistrate			sign of the hare, blown eggs, egg, receipt, stamp, drop, silver
翫	fiddle with			learn, feathers, wings, white, dove, beginning, two, human legs
於	within			direction, compass, umbrella, two drops, drops, drop, drop2, two
套	hackneyed			St. Bernard, large, long, hair, hairpin, safety-pin
叛	rebellion			half, small, ten, needle, anti-, anti, demonstation, cliff, crotch
尖	sharp point			small, little, St. Bernard, large
壷	crock			samurai, crown, Asia, roman two, mouth
叡	sapience			magic wand, wand, augury, divining rod, crown, ceiling, valley with eye, valley, eye, umbrella, eight, crotch
酋	chieftain			horns, whiskey bottle
鴬	nightingale			schoolhouse, owl, one, animal legs, crown, bird
赫	incandescent			red2, red, two reds, soil, dirt, ground, human legs, eight, sword, dagger, small, little
臥	supinate			loincloth, retainer, slave, person
甥	nephew			life, This is Your Life, cell, drop, grow up, man, male, rice field, brains, power, muscle, arnold
瓢	gourd			ballot, old west, altar, show, two, small, melon, claw, vulture, elbow
琵	biwa			two jewels, jewel2, jewel, this here, compare, spoon2, spoon, sitting on the ground,
